"vid_id";"view_count";"like_count";"fav_count";"com_count";"title"
"_kcl3YLPTVQ";10684;97;0;7;"What's Next in AI: a conversation on AI and the workplace"
"12zfz07ClQg";1389;25;0;4;"Views from Davos: John Granger"
"1tKM_TNVXEw";5374;130;0;23;"Join Us at IBM TechXchange Conference 2024"
"6-Cjcw99qIo";1108;42;0;4;"Happy Asian Pacific American Heritage Month"
"6nC1R-aJvYE";1908;15;0;2;"Views from Davos: Sebastian Krause, Day 3"
"8jWHfU-Snc0";1612;30;0;4;"IBM Policy Q&A - with Rebecca Finlay, CEO, Partnership on AI"
"8txcVbLyKfc";3434;23;0;4;"Common Grounds: How ISW unleashes the power of AI for safer payments"
"9QRvBnIKb4Y";975;12;0;1;"Views from Davos: Gary Cohn"
"Akj5qDwc3U0";2073;38;0;3;"Common Grounds: How Evolving Solutions solves complex solutions for clients through partnership"
"C7LmjFjgL2o";2080;17;0;2;"Views from Davos: John Granger and Daniel Pacthod, McKinsey & Company"
"CiqQEBWyG1c";4391;68;0;4;"IBM: Deploy AI across any environment with watsonx"
"d10uegjHBUA";1024;30;0;1;"Rethink talent acquisition with AI"
"e5gsx8R1LW0";11428;113;0;2;"IBM watsonx at the 2024 GRAMMYs"
"EScPlMmMxMY";1372;9;0;0;"Views from Davos: Alessandro Curioni"
"eYR8uXl3lCU";7190;42;0;2;"IBM Policy Lab Q&A with Denise Wong"
"FPIEkrY0fZo";1986;32;0;5;"IBM Policy: Australian and Global Perspectives on AI Policy Issues"
"gD75QwksHu0";1651;43;0;5;"Rethink IT spend with AI"
"GQSAjvfKoQk";1541383;69;0;11;"IBM: Generate code quickly with watsonx Code Assistant"
"hOiyzZFjjtw";2771;26;0;0;"50 into 5 does go!"
"htndakK5W_4";9429;132;0;6;"IBM watsonx at the 2024 Masters"
"Jh3SejTumlI";2381;13;0;0;"Views from Davos: Emily Fontaine and Vikas Taneja"
"JkWzVmxAxas";581;28;0;4;"IBM and Intercompany: Revolutionizing how clients are modernizing their IT"
"koA7913SQRU";12425640;39;0;1;"IBM: Create customer service in service of customers with watsonx Assistant"
"LCXFyIlyfIc";352;8;0;0;"IBM and Habber Tec: Unlocking the power of automation"
"lORH-xoOG_k";2144;59;0;4;"Rethink Finance with AI"
"lV3JUsnD87w";773;17;0;1;"IBM and Seismic: Innovating together"
"MeWJ8VreHYU";952;31;0;3;"Overcoming Sustainability Challenges in Energy & Utilities: IBM & TCS's AI Collaboration"
"MQ3BLqq3efw";2218;41;0;2;"Common Grounds: How EquBot leverages AI and the ecosystem to unlock insights in the finance industry"
"NCRQ_thDUP0";1311;38;0;0;"IBM Partner Plus Interviews Crush Bank's David Tan"
"NdoScvKnFGo";0;535;0;19;"LIVE from #Think2024: Scaling your business with AI and hybrid cloud"
"nFO1Rnb7wis";2755;39;0;3;"Accelerate with AI: IBM Service Partners"
"No7VxEoyab8";2058470;36;0;3;"IBM: Build AI assistants that know your world with watsonx"
"PsdkbJ3KXfg";4886;44;0;5;"Unlocking Client Value: Accenture and IBM’s Joint FinOps Solution"
"QDK_Hh30uyc";75380;160;0;6;"Rethink App Modernization with AI"
"RNUR5Jq_bi0";5766;92;0;9;"Rethink Marketing with AI"
"rVlpx33fNUE";6355;53;0;8;"Serving AI: AI's Impact on Hospitality with Danny Meyer and Rob Thomas"
"sF_HZFQwZek";1570;13;0;1;"Views from Davos: Chris Padilla"
"snIG1tsM_ko";936;38;0;0;"IBM and Crushbank: partnership with IBM watsonx technologies"
"TeUAEvm6U2w";269;5;0;1;"IBM and Ernst & Young LLP: Optimizing recruiting and onboarding"
"VamklmJCahE";136491;241;0;5;"Rethink Code Conversion with AI"
"Vd04qA8oWec";7351;69;0;0;"IBM Sustainability Accelerator - Resilient Cities"
"W8hQlHmJjt8";1516;43;0;7;"Rethink talent skill & development with AI"
"wnzLMfKz7Tw";1117;5;0;1;"Views from Davos: Matt Candy"
"X7W2fyKtFjg";12926;102;0;8;"IBM: Let’s create the right AI for your business with watsonx"
"XlEgF115VLs";2837;20;0;1;"Views from Davos: Jesus Mantas, Day 3"
"xw6Kl6uWf_c";4960;25;0;2;"Common Grounds: How EquBot leverages AI and the ecosystem to unlock insights in the finance industry"
"YSJG7Gfh7H0";2193;57;0;5;"IBM watsonx at the 2024 US Open"
"yts9ydFfFg8";6629;59;0;3;"Agassi vs Courier | AI-powered Ping Pong"
"yVSrbP1GmWM";901;25;0;2;"Rethink HR and talent transformation with AI"
"YXFzGRiiHfI";2338;45;0;5;"Rethink Finance Workflows with AI"
